"R","gens","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52"
3.9,5,0.00121352253823015,0.00355544797463481,0.00587816124236413,0.0148403302715562,0.023391811864073,0.0558682860541531,0.0817870302116712,0.185920947219938,0.214459054538607,0.413085408084772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,0.00442428725531502,0.0132017534959254,0.0216726907940952,0.0549067474689848,0.0798192312949223,0.186058260165404,0.213421568965553,0.4264954605598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.1,4,0.00409527677825229,0.012424463057627,0.0204087536767491,0.0526261852176117,0.0773579810495303,0.183921772585212,0.213447940143281,0.435717627491737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.2,4,0.00379288644375108,0.0116929318769216,0.0193105548984576,0.0508476933530538,0.0753089386660896,0.182768477868677,0.212351589317524,0.443926927575525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.3,4,0.00341492768944101,0.0107348049139077,0.0177992515893897,0.0478950843048063,0.0714951783329502,0.178368543136549,0.212948932064666,0.45734327796829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.4,4,0.00325332152565089,0.0103499688841195,0.0172361273499625,0.0471194909396777,0.0706406394063264,0.178783564152707,0.210790624203792,0.461826263537764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.5,4,0.00297211173537262,0.00959799904748604,0.0160936068170026,0.0447882747749505,0.0677904826848776,0.175451482623683,0.211212604570577,0.47209343774605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.6,4,0.002771792656139,0.00910392551768481,0.0153177972498261,0.0434951975360634,0.0662862198575831,0.174834847915114,0.208871379505931,0.479318839761659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.7,4,0.00257280183484622,0.00859065854493234,0.0144649668571949,0.0417766003975496,0.063864184933629,0.172245395666062,0.208548304628721,0.487937087137065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.8,4,0.00243032358882875,0.00822609866847502,0.01387622433298,0.0406523957976177,0.0623982109413009,0.170886920721699,0.207207013210757,0.494322812738341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.9,4,0.00216503005031152,0.00743675339547585,0.0126163601320683,0.0376876740953159,0.0588557589341623,0.165035071644777,0.208622853495492,0.507580498252397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4,0.00208405873194738,0.00725456107025518,0.0123388941774174,0.0373073250629474,0.0580703090195462,0.164982221042012,0.206440666898038,0.511521963997837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.1,4,0.00194786640906024,0.00687758567674799,0.0117683963911704,0.0362156790211054,0.0566132235442617,0.163874280301404,0.204701397899763,0.518001570756487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.2,4,0.00180669829005191,0.00647045599668325,0.0111100780031467,0.0347663674859818,0.0547338710974598,0.16128863268575,0.203854026238141,0.525969870202786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.3,4,0.00168467418135284,0.00610473497232668,0.010462529063987,0.0332150866714062,0.0526824689775023,0.158007891828803,0.203503036773363,0.534339577531259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.4,4,0.00158119770247223,0.00581237098144296,0.0100057593766562,0.0322825681707769,0.0516824144689292,0.157330621258003,0.201793053889394,0.539512014152325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.5,4,0.00149104173311961,0.00554969663407493,0.0095474192724088,0.0312217568235191,0.0498604471921935,0.154423955404905,0.201023348737703,0.546882334202076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
